Dietary_Consciousness_Score,Segment,Stated_Preference,Favorite_Restaurant,Orders_Per_Month,Housing,Year
1.0,Indifferent,Unsure,Blaze Pizza,5,On campus,Junior
1.0,Indifferent,Local,Perri's Pizza,2,Off campus,Senior
1.1818181818181819,Indifferent,Local,Salvatore's Pizza,3,On campus,Senior
2.5454545454545454,Moderate,Chain,Domino's Pizza,3,On campus,Sophomore
1.0,Indifferent,Local,Mark's Pizzeria,1,Commuter student,Super Senior
1.6363636363636365,Indifferent,Local,Blaze Pizza,2,Off campus,Senior
1.0,Indifferent,Local,,1,Off campus,Junior
2.6363636363636362,Moderate,Local,Papa John's,6,Off campus,Senior
1.0,Indifferent,Unsure,Perri's Pizza,2,Off campus,Sophomore
1.1818181818181819,Indifferent,Local,Peels on Wheels,4,Off campus,Freshman
1.0,Indifferent,Unsure,Domino's Pizza,2,On campus,Junior
1.0,Indifferent,Local,Costco Pizza,2,On campus,Sophomore
1.4545454545454546,Indifferent,Local,Papa John's,2,On campus,Senior
2.090909090909091,Moderate,Local,Tony Pepperoni,3,Off campus,Senior
1.2727272727272727,Indifferent,Local,Salvatore's Pizza,4,Off campus,Sophomore
2.909090909090909,Moderate,Local,Blaze Pizza,2,Off campus,Junior
1.8181818181818181,Indifferent,Unsure,Domino's Pizza,1,Off campus,Senior
1.5454545454545454,Indifferent,Local,Mark's Pizzeria,15,Off campus,Super Senior
1.0,Indifferent,Local,Domino's Pizza,1,On campus,Sophomore
4.1,Conscious,Unsure,Domino's Pizza,3,Commuter student,Junior
2.4545454545454546,Moderate,Local,Joe's Brooklyn Pizza,4,On campus,Sophomore
1.3636363636363635,Indifferent,Unsure,Domino's Pizza,3,On campus,Freshman
2.090909090909091,Moderate,Unsure,Mark's Pizzeria,3,Off campus,Super Senior
1.4545454545454546,Indifferent,Local,Pontillo's Pizza,3,On campus,Junior
1.2727272727272727,Indifferent,Chain,Domino's Pizza,1,Off campus,Freshman
1.5454545454545454,Indifferent,Local,,2,On campus,Freshman
2.090909090909091,Moderate,Local,Perri's Pizza,5,On campus,Freshman
1.2727272727272727,Indifferent,Local,Mark's Pizzeria,2,On campus,Sophomore
1.0,Indifferent,Unsure,Domino's Pizza,1,Off campus,Super Senior
1.0,Indifferent,Chain,Domino's Pizza,1,Off campus,Senior
1.0909090909090908,Indifferent,Local,Papa John's,2,On campus,Freshman
1.3636363636363635,Indifferent,Local,RIT Dining (Commons),3,On campus,Freshman
1.2727272727272727,Indifferent,Unsure,RIT Dining (Commons),5,On campus,Sophomore
3.3636363636363638,Conscious,Unsure,Domino's Pizza,4,Off campus,Senior
1.0,Indifferent,Chain,Brandani's Pizza,4,Off campus,Junior
1.9090909090909092,Indifferent,Unsure,Domino's Pizza,5,On campus,Sophomore
2.090909090909091,Moderate,Unsure,Little Caesars,2,On campus,Junior
1.1818181818181819,Indifferent,Chain,Pizza Hut,4,Off campus,Junior
2.3636363636363638,Moderate,Chain,Mark's Pizzeria,1,Off campus,Graduate student
1.2727272727272727,Indifferent,Local,Joe's Brooklyn Pizza,2,Off campus,Senior
1.8181818181818181,Indifferent,Local,Domino's Pizza,2,Off campus,Senior
2.909090909090909,Moderate,Local,Costco Pizza,2,Off campus,Senior
1.1818181818181819,Indifferent,Unsure,Domino's Pizza,4,Off campus,Sophomore
1.2727272727272727,Indifferent,Unsure,Domino's Pizza,2,On campus,Freshman
1.0,Indifferent,Local,Pontillo's Pizza,1,Off campus,Sophomore
1.0,Indifferent,Local,Blaze Pizza,0,Off campus,Sophomore
2.090909090909091,Moderate,Local,Domino's Pizza,5,Commuter student,Sophomore
1.0909090909090908,Indifferent,Local,Domino's Pizza,2,Off campus,Sophomore
1.0,Indifferent,Local,Peels on Wheels,1,Off campus,Senior
2.272727272727273,Moderate,Local,Pizza Hut,3,Off campus,Sophomore
2.6363636363636362,Moderate,Unsure,Costco Pizza,1,Off campus,Senior
2.5454545454545454,Moderate,Local,Salvatore's Pizza,2,Off campus,Junior
1.0,Indifferent,Chain,Papa John's,0,Off campus,Graduate student
1.0,Indifferent,Unsure,Little Caesars,1,Commuter student,Graduate student
1.2727272727272727,Indifferent,Local,Salvatore's Pizza,5,On campus,Freshman
1.4545454545454546,Indifferent,Local,Domino's Pizza,2,Off campus,Senior
1.2727272727272727,Indifferent,Local,Joe's Brooklyn Pizza,0,Off campus,Graduate student
1.1818181818181819,Indifferent,Local,Costco Pizza,0,On campus,Sophomore
1.4545454545454546,Indifferent,Local,Mark's Pizzeria,2,On campus,Senior
2.8181818181818183,Moderate,Local,Joe's Brooklyn Pizza,2,On campus,Freshman
1.0,Indifferent,Local,Joe's Brooklyn Pizza,3,Off campus,Junior
1.0,Indifferent,Local,Costco Pizza,0,On campus,Junior
2.8181818181818183,Moderate,Local,Costco Pizza,0,Off campus,Junior
1.7272727272727273,Indifferent,Unsure,Fire Crust Pizza,1,Off campus,Graduate student
3.3636363636363638,Conscious,Unsure,Domino's Pizza,0,Off campus,Junior
2.8181818181818183,Moderate,Local,Pontillo's Pizza,2,Off campus,Junior
2.272727272727273,Moderate,Unsure,Salvatore's Pizza,2,On campus,Junior
2.090909090909091,Moderate,Local,Pizza Hut,3,On campus,Freshman
1.3636363636363635,Indifferent,Local,Joe's Brooklyn Pizza,2,On campus,Junior
1.2727272727272727,Indifferent,Unsure,Domino's Pizza,2,On campus,Sophomore
3.5454545454545454,Conscious,Local,Salvatore's Pizza,2,Off campus,Senior
1.6363636363636365,Indifferent,Unsure,Costco Pizza,1,On campus,Senior
1.0,Indifferent,Local,Little Caesars,0,Off campus,Senior
1.4545454545454546,Indifferent,Unsure,Domino's Pizza,3,Off campus,Junior
1.3636363636363635,Indifferent,Unsure,Papa John's,0,On campus,Junior
1.0909090909090908,Indifferent,Unsure,Costco Pizza,1,On campus,Senior
1.0,Indifferent,Unsure,RIT Dining (Commons),0,Off campus,Junior
1.3636363636363635,Indifferent,Chain,Pizza Hut,5,Off campus,Junior
1.9090909090909092,Indifferent,Unsure,Domino's Pizza,0,On campus,Freshman
1.6363636363636365,Indifferent,Local,Little Caesars,2,Off campus,Senior
2.272727272727273,Moderate,Unsure,Salvatore's Pizza,1,Off campus,Senior
1.8181818181818181,Indifferent,Local,Tony Pepperoni,10,On campus,Freshman
2.3636363636363638,Moderate,Chain,Fire Crust Pizza,10,Commuter student,Super Senior
1.4545454545454546,Indifferent,Local,Joe's Brooklyn Pizza,4,On campus,Junior
2.090909090909091,Moderate,Local,Pontillo's Pizza,2,Off campus,Senior
1.0,Indifferent,Unsure,Domino's Pizza,1,Off campus,Senior
1.0,Indifferent,Local,Joe's Brooklyn Pizza,1,Off campus,Senior
1.3636363636363635,Indifferent,Local,Joe's Brooklyn Pizza,1,Off campus,Junior
2.272727272727273,Moderate,Local,Costco Pizza,2,Off campus,Junior
1.6363636363636365,Indifferent,Local,Papa John's,1,Off campus,Graduate student
2.1818181818181817,Moderate,Local,Costco Pizza,3,On campus,Freshman
2.6363636363636362,Moderate,Local,Salvatore's Pizza,2,On campus,Freshman
1.3636363636363635,Indifferent,Local,Domino's Pizza,1,On campus,Senior
1.0,Indifferent,Unsure,Domino's Pizza,3,Off campus,Senior
1.9090909090909092,Indifferent,Unsure,Pizza Hut,1,Off campus,Senior
1.3636363636363635,Indifferent,Unsure,Domino's Pizza,1,Off campus,Graduate student
2.0,Indifferent,Chain,East of Chicago,0,On campus,Freshman
3.0,Moderate,Unsure,Little Caesars,0,Off campus,Freshman
1.0,Indifferent,Local,Salvatore's Pizza,8,On campus,Freshman
1.9090909090909092,Indifferent,Unsure,Little Caesars,2,Off campus,Senior
1.6363636363636365,Indifferent,Local,Papa John's,3,On campus,Senior
1.0,Indifferent,Unsure,Pontillo's Pizza,1,On campus,Super Senior
1.6363636363636365,Indifferent,Local,RIT Dining (Commons),10,On campus,Freshman
2.5454545454545454,Moderate,Unsure,Costco Pizza,2,On campus,Junior
1.4545454545454546,Indifferent,Local,Joe's Brooklyn Pizza,5,On campus,Senior
1.8181818181818181,Indifferent,Local,Domino's Pizza,2,Off campus,Senior
2.0,Indifferent,Unsure,Mark's Pizzeria,2,Off campus,Sophomore
1.6363636363636365,Indifferent,Chain,Domino's Pizza,3,On campus,Senior
2.0,Indifferent,Chain,Domino's Pizza,2,Commuter student,Senior
1.0,Indifferent,Local,Perri's Pizza,1,Off campus,Senior
1.1818181818181819,Indifferent,Unsure,Domino's Pizza,2,Off campus,Senior
1.0,Indifferent,Local,Peels on Wheels,1,Off campus,Senior
2.1818181818181817,Moderate,Local,Costco Pizza,4,Off campus,Junior
1.0,Indifferent,Local,Mark's Pizzeria,2,Off campus,Junior
1.5454545454545454,Indifferent,Unsure,Little Caesars,2,Off campus,Senior
1.9090909090909092,Indifferent,Local,Blaze Pizza,3,Off campus,Super Senior
1.0,Indifferent,Local,Joe's Brooklyn Pizza,1,On campus,Junior
1.4545454545454546,Indifferent,Local,Domino's Pizza,3,On campus,Junior
1.4545454545454546,Indifferent,Local,East of Chicago,3,On campus,Junior
3.090909090909091,Conscious,Local,East of Chicago,2,Commuter student,Graduate student
3.8181818181818183,Conscious,Unsure,Domino's Pizza,5,On campus,Junior
1.0909090909090908,Indifferent,Local,Joe's Brooklyn Pizza,4,Commuter student,Graduate student
2.6363636363636362,Moderate,Chain,Papa John's,1,On campus,Sophomore
1.0,Indifferent,Local,Little Caesars,15,On campus,Freshman
1.1818181818181819,Indifferent,Local,Blaze Pizza,0,On campus,Senior
1.6363636363636365,Indifferent,Chain,Domino's Pizza,2,Commuter student,Junior
1.0909090909090908,Indifferent,Unsure,Domino's Pizza,4,On campus,Junior
1.1818181818181819,Indifferent,Unsure,Domino's Pizza,2,On campus,Senior
1.1818181818181819,Indifferent,Unsure,Costco Pizza,1,Off campus,Graduate student
1.0909090909090908,Indifferent,Unsure,Domino's Pizza,5,On campus,Senior
3.909090909090909,Conscious,Unsure,Little Caesars,6,On campus,Sophomore
3.5454545454545454,Conscious,Unsure,Domino's Pizza,0,On campus,Junior
2.272727272727273,Moderate,Local,Domino's Pizza,6,On campus,Freshman
1.0,Indifferent,Local,Salvatore's Pizza,4,Commuter student,Senior
1.0,Indifferent,Local,Mark's Pizzeria,3,On campus,Sophomore
1.6363636363636365,Indifferent,Unsure,Costco Pizza,0,On campus,Sophomore
1.0,Indifferent,Local,Domino's Pizza,0,Off campus,Sophomore
2.272727272727273,Moderate,Unsure,Domino's Pizza,2,Commuter student,Freshman
1.0909090909090908,Indifferent,Local,,1,On campus,Sophomore
1.0,Indifferent,Local,Joe's Brooklyn Pizza,5,Off campus,Senior
1.0,Indifferent,Chain,Domino's Pizza,1,,Senior
1.3636363636363635,Indifferent,Local,Salvatore's Pizza,4,Off campus,Junior
1.3636363636363635,Indifferent,Local,Domino's Pizza,1,Off campus,Senior
3.1818181818181817,Conscious,Unsure,Blaze Pizza,0,Off campus,Sophomore
2.4545454545454546,Moderate,Local,Domino's Pizza,2,Off campus,Graduate student
1.3636363636363635,Indifferent,Unsure,Papa John's,0,On campus,Freshman
1.1818181818181819,Indifferent,Chain,Papa John's,1,On campus,Senior
1.3636363636363635,Indifferent,Local,Joe's Brooklyn Pizza,0,Off campus,Sophomore
1.0,Indifferent,Chain,Fire Crust Pizza,2,Off campus,Senior
2.4545454545454546,Moderate,Local,Domino's Pizza,0,Off campus,Junior
1.3636363636363635,Indifferent,,Domino's Pizza,2,Off campus,Graduate student
1.3636363636363635,Indifferent,Unsure,Papa John's,1,Commuter student,Senior
2.0,Indifferent,Local,Costco Pizza,3,On campus,Freshman
2.272727272727273,Moderate,Local,East of Chicago,2,Off campus,Senior
1.1818181818181819,Indifferent,Local,Salvatore's Pizza,5,Off campus,Junior
1.4545454545454546,Indifferent,Unsure,Costco Pizza,0.33,On campus,Junior
1.5454545454545454,Indifferent,Unsure,,1,On campus,Junior
1.0909090909090908,Indifferent,Local,Pizza Wizard,1,On campus,Sophomore
1.0,Indifferent,Local,Brandani's Pizza,6,Off campus,Junior
1.0,Indifferent,Local,Joe's Brooklyn Pizza,5,,
,,,,,,
